skyid                ra           dec          name                  obs_state  obs_date
HIP113498            344.788      59.8147      Apogee                1          20170928
HIP115691            351.587      61.0868      Apogee                2          20170928,20171003
HIP116299            353.4624     57.221       Apogee                3          20171001,20171003,20171004
HIP104189            316.6392     -0.105       Apogee                1          20171003
HIP103359            314.1061     50.7285      Apogee                2          20171004,20171029
HIP110142            334.6569     52.6565      Apogee                1          20171029
HIP103471            314.4525     55.4876      Apogee                1          20171030
HIP109688            333.2871     41.7901      Apogee                1          20171030
HIP111753            339.5725     45.1829      Apogee                1          20171101
HIP110405            335.4384     66.7062      Apogee                1          20171101
HIP116542            354.278      30.6787      Apogee                3          20171103,20171106,20171108
HIP114604            348.256      42.0622      Apogee                1          20171103
2M08501230+1151246   132.5512695  11.8568001   Apogee                0          0
2M19410822+4019319   295.2842790  40.3255420   Apogee                0          0
HIP117447            357.209      62.2145      ShiJianRong           1          20171030
HIP32844             102.6914     41.7812      ShiJianRong           2          20171030,20171104
HIP36325             112.1662     27.5529      ShiJianRong           2          20171031,20171103
HIP117769            358.2503     41.3456      ShiJianRong           3          20171101,20171103,20171104
HIP117842            358.5084     56.4894      ShiJianRong           2          20171101,20171108
HIP6027               19.359      57.632       ChenLi                6          20171004,20171029
HIP28117              89.14070    28.94226     JiangDengKai          5          20171029,20171030,20171102,20171104,20171108
HIP96459             294.15823    44.69494     XieJiWei              1          20170928
HIP94487             288.47314    48.34928     XieJiWei              1          20171005
HIP93808             286.57098    41.41378     XieJiWei              1          20171004
HIP95879             292.49547    46.94649     XieJiWei              1          20171004
HIP95352             290.98542    43.38817     XieJiWei              0          0
HIP96252             293.5758     41.92722     XieJiWei              0          0
HIP92862             283.83376    43.94609     XieJiWei              1          20171003
HIP97372             296.86178    47.90757     XieJiWei              1          20171003
HIP5074               16.2193      5.65627     K2                    5          20170928,20171003,20171030,20171104,20171108
HIP42112             128.7675     11.2837      K2                    1          20171102,20171129
HIP30726              96.82913    21.29358     K2                    0          0
HIP56073             172.39918     3.77993     K2                    1          20171204
HIP18762              60.27909    20.19916     K2                    0          0
HIP44056             134.57621    18.30828     K2                    0          0
HIP67271             206.80585    -9.70945     K2                    0          0
HIP22935              74.02765    22.57655     K2                    0          0
HIP51802             158.75899     8.65043     K2                    1          20171204
HIP44000             134.39545    16.23365     K2                    0          0
HIP22743              73.392      23.3156      K2                    3          20171029,20171030,20171031
HIP18581              59.6556     11.0275      LuoALi                1          20170928
HIP20350              65.3845     18.4176      LuoALi                2          20170928,20170930
HIP19662              63.1947     23.5208      LuoALi                2          20170930,20171003
HIP15838              51.0037     19.907       LuoALi                1          20171003
HIP18491              59.2992     25.2828      LuoALi                1          20171003
HIP14893              48.0593613  27.256968    T_Taurus              1          20171004
HIP15565              50.1404     12.3465      T_Taurus              1          20171004
HIP16598              53.4123     17.3292      T_Taurus              1          20171004
HIP14024              45.1516     22.8297      T_Taurus              2          20171103,20171108
HIP18490              59.297      21.3235      T_Taurus              1          20171103
HIP21010              67.5836     28.1319      T_Taurus              1          20171103
HIP23550              75.9665     24.9728      T_Taurus              1          20171104
HIP24665              79.3824     24.0097      T_Taurus              1          20171103
HIP14433              46.5712641  11.6652482   T_Taurus              0          0
HIP14554              46.9675823  23.6877413   T_Taurus              0          0
HIP14672              47.3943818  19.3808861   T_Taurus              1          20171103
HIP14719              47.5376957  27.8195047   T_Taurus              1          20170930
HIP15064              48.5351398  15.5902884   T_Taurus              0          0
HIP15850              51.0420537  12.6293787   T_Taurus              0          0
HIP15861              51.0763361  24.7239640   T_Taurus              0          0
HIP15870              51.1084995  20.8034774   T_Taurus              0          0
HIP16268              52.4274967  16.7622992   T_Taurus              0          0
HIP16378              52.7534931  27.7248234   T_Taurus              0          0
HIP16859              54.2417     23.211       T_Taurus              1          20171030
HIP17235              55.3678125  12.6075696   T_Taurus              0          0
HIP17325              55.6252659  20.1497866   T_Taurus              0          0
HIP17401              55.9227108  23.6484782   T_Taurus              0          0
HIP17482              56.1878805  27.9206477   T_Taurus              0          0
HIP17610              56.5864472  16.3742168   T_Taurus              0          0
HIP18405              59.0275444  20.7718423   T_Taurus              0          0
HIP18620              59.7641367  23.6278681   T_Taurus              0          0
HIP18634              59.8320068  13.9748400   T_Taurus              0          0
HIP18717              60.1535520  17.2965627   T_Taurus              0          0
HIP18972              60.9760113  28.1256157   T_Taurus              0          0
HIP19669              63.2041957  19.5389198   T_Taurus              0          0
HIP19736              63.4577192  12.7536113   T_Taurus              0          0
HIP19785              63.6097136  23.6963801   T_Taurus              0          0
HIP19799              63.6512125  10.0107699   T_Taurus              0          0
HIP19960              64.2024663  16.2140244   T_Taurus              0          0
HIP20512              65.9336074  28.1863321   T_Taurus              0          0
HIP20897              67.1757719  20.6768394   T_Taurus              0          0
HIP21246              68.3703284  24.2792476   T_Taurus              0          0
HIP21267              68.4447015  13.2518266   T_Taurus              0          0
HIP21308              68.6263235  10.0162158   T_Taurus              0          0
HIP21365              68.7596932  17.2010392   T_Taurus              0          0
HIP21988              70.8977530  27.6866240   T_Taurus              0          0
HIP22352              72.1827718  21.3159006   T_Taurus              0          0
HIP22455              72.4786161  13.6888822   T_Taurus              0          0
HIP22496              72.5999865  17.2029284   T_Taurus              0          0
HIP22729              73.3416832  24.1773844   T_Taurus              0          0
HIP22845              73.7236713  10.1504979   T_Taurus              0          0
HIP23143              74.6929204  29.8433662   T_Taurus              0          0
HIP23632              76.2083650  18.2538153   T_Taurus              0          0
HIP23712              76.4728111  26.4303000   T_Taurus              0          0
HIP23789              76.6795192  14.0844057   T_Taurus              0          0
HIP23883              76.9806450  21.7047801   T_Taurus              0          0
HIP24273              78.1446438  10.4081990   T_Taurus              0          0
HIP24642              79.3143321  28.9049847   T_Taurus              0          0
HIP24905              80.0755137  25.1711343   T_Taurus              0          0
HIP25111              80.6436499  16.8038993   T_Taurus              0          0
HIP25337              81.2932853  20.5837671   T_Taurus              0          0
HIP25470              81.7007522  13.5826072   T_Taurus              0          0
HIP25826              82.7154805  10.2543688   T_Taurus              0          0
HIP26062              83.3779891  24.6284913   T_Taurus              0          0
HIP26382              84.2662114  17.0400179   T_Taurus              0          0
HIP26606              84.8265601  29.2149234   T_Taurus              0          0
HIP26770              85.2984048  20.0624409   T_Taurus              0          0
HIP27116              86.2553944  12.8883664   T_Taurus              0          0
HIP27805              88.2605892  16.3456074   T_Taurus              0          0
